Identifiant,Distance,Dénivelé positif,Dénivelé négatif,Difficulté,Gare départ,Gare arrivée,Retour point de depart,Lien,Lignes,Département
45837,"7,29 km",+ 107 m,- 104 m,Facile,Fontainebleau Avon,Fontainebleau Avon,Oui,https://www.visorando.com/randonnee-foret-de-fontainebleau-en-passant-par-la/,['TRAIN R'],77 - Seine-et-Marne
470242,"8,78 km",+ 5 m,- 19 m,Facile,Joinville-le-Pont,Neuilly-Plaisance,Non,https://www.visorando.com/randonnee-boucles-de-la-marne-de-joinville-le-pont/,['RER A'],94 - Val-de-Marne
4147764,"13,81 km",+ 5 m,- 6 m,Moyenne,Juvisy,Choisy-le-Roi,Non,https://www.visorando.com/randonnee-de-juvisy-a-choisy-le-roi-par-le-lac-mon/,"['RER C', 'RER D']",91 - Essonne
68979095,"20,40 km",+ 325 m,- 323 m,Difficile,Juziers,Juziers,Oui,https://www.visorando.com/randonnee-les-coteaux-de-la-montcient-depuis-juzie/,['TRAIN J'],78 - Yvelines
5807386,"14,14 km",+ 198 m,- 203 m,Moyenne,Juziers,Juziers,Oui,https://www.visorando.com/randonnee-patrimoine-de-juziers-mezy-sur-seine-har/,['TRAIN J'],78 - Yvelines
13354240,"4,05 km",+ 93 m,- 102 m,Facile,Juziers,Juziers,Oui,https://www.visorando.com/randonnee-autour-de-juziers/,['TRAIN J'],78 - Yvelines
113461,"21,43 km",+ 74 m,- 22 m,Difficile,Maisons-Laffitte,Saint-Germain-en-Laye,Non,https://www.visorando.com/randonnee-la-grande-traversee-de-la-foret-domanial/,"['TRAIN L', 'RER A']",78 - Yvelines
7725227,"7,30 km",+ 113 m,- 160 m,Facile,Meudon-Val-Fleury,Bellevue,Non,https://www.visorando.com/randonnee-de-la-terrasse-de-l-observatoire-a-la-se/,['RER C'],92 - Hauts-de-Seine
3975611,"11,64 km",+ 177 m,- 153 m,Moyenne,Meudon-Val-Fleury,Chaville-Vélizy,Non,https://www.visorando.com/randonnee-quatre-etangs-dans-le-sud-de-la-foret-de/,['RER C'],92 - Hauts-de-Seine
30195059,"16,95 km",+ 34 m,- 42 m,Moyenne,Mitry-Claye,Mitry-Claye,Oui,https://www.visorando.com/randonnee-boucle-entre-mitry-mory-et-saint-mesmes/,"['RER B', 'TRAIN K']",77 - Seine-et-Marne
129837,"12,54 km",+ 206 m,- 203 m,Moyenne,Lardy,Lardy,Oui,https://www.visorando.com/randonnee-les-coteaux-de-la-juine/,['RER C'],91 - Essonne
20393976,"14,36 km",+ 10 m,- 41 m,Moyenne,Lardy,Ballancourt,Non,https://www.visorando.com/randonnee-de-lardy-a-ballancourt-par-le-marais-d-i/,['RER C'],91 - Essonne
9038754,"17,43 km",+ 73 m,- 109 m,Moyenne,Lardy,Ballancourt,Non,https://www.visorando.com/randonnee-de-lardy-a-ballancourt-par-cheptainville/,['RER C'],91 - Essonne
21132954,"11,33 km",+ 20 m,- 20 m,Moyenne,Les Yvris-Noisy-le-Grand,Les Yvris-Noisy-le-Grand,Oui,https://www.visorando.com/randonnee-boucle-du-bois-de-saint-martin-et-bois-c/,['RER E'],93 - Seine-Saint-Denis
69019017,"10,07 km",+ 116 m,- 123 m,Moyenne,Palaiseau,Le Guichet,Non,https://www.visorando.com/randonnee-de-palaiseau-au-guichet-par-l-abbaye-de-/,['RER B'],91 - Essonne
4035450,"11,40 km",+ 96 m,- 102 m,Moyenne,Palaiseau,Lozère,Non,https://www.visorando.com/randonnee-de-la-vallee-de-l-yvette-au-plateau-de-s/,['RER B'],91 - Essonne
35107521,"8,23 km",+ 118 m,- 121 m,Facile,Palaiseau,Palaiseau,Oui,https://www.visorando.com/randonnee-du-haut-pileu-a-l-ile-saint-amour/,['RER B'],91 - Essonne
595303,"7,40 km",+ 85 m,- 85 m,Moyenne,Pontoise,Pontoise,Oui,https://www.visorando.com/randonnee-a-la-decouverte-de-pontoise/,"['TRAIN H', 'TRAIN J', 'RER C']",95 - Val-d'Oise
2658440,"13,27 km",+ 51 m,- 50 m,Moyenne,Saint-Rémy-lès-Chevreuse,Lozère,Non,https://www.visorando.com/randonnee-en-suivant-l-yvette-de-saint-remy-les-ch/,['RER B'],78 - Yvelines
10525987,"7,02 km",+ 72 m,- 72 m,Facile,Saint-Rémy-lès-Chevreuse,Saint-Rémy-lès-Chevreuse,Oui,https://www.visorando.com/randonnee-chateau-medieval-de-la-madeleine-et-vue-/,['RER B'],78 - Yvelines
177985,"11,39 km",+ 94 m,- 94 m,Moyenne,Saint-Rémy-lès-Chevreuse,Saint-Rémy-lès-Chevreuse,Oui,https://www.visorando.com/randonnee-la-foret-de-meridon-et-l-ancienne-voie-f/,['RER B'],78 - Yvelines
3360637,"14,02 km",+ 160 m,- 132 m,Moyenne,Sèvres-Ville-d'Avray,Versailles Rive Droite,Non,https://www.visorando.com/randonnee-de-sevres-a-versailles-par-le-parc-de-sa/,"['TRAIN L', 'TRAIN U']",92 - Hauts-de-Seine
4562569,"18,21 km",+ 262 m,- 260 m,Moyenne,Presles-Courcelles,Presles-Courcelles,Oui,https://www.visorando.com/randonnee-de-presles-a-beaumont-sur-oise/,['TRAIN H'],95 - Val-d'Oise
1558754,"13,09 km",+ 155 m,- 163 m,Moyenne,Presles-Courcelles,Presles-Courcelles,Oui,https://www.visorando.com/randonnee-trois-allees-couvertes-autour-de-presles/,['TRAIN H'],95 - Val-d'Oise
23849895,"31,33 km",+ 475 m,- 442 m,Très difficile,Presles-Courcelles,Orry-la-Ville-Coye-la-Forêt,Non,https://www.visorando.com/randonnee-de-presles-a-coye-la-foret-par-le-gr-r-1/,['TRAIN H'],95 - Val-d'Oise
864026,"20,02 km",+ 240 m,- 225 m,Difficile,Presles-Courcelles,Luzarches,Non,https://www.visorando.com/randonnee-de-presles-a-luzarches-par-la-foret-de-c/,['TRAIN H'],95 - Val-d'Oise
850739,"29,02 km",+ 150 m,- 180 m,Très difficile,Rambouillet,Orgerus-Béhoust,Non,https://www.visorando.com/randonnee-de-rambouillet-a-orgerus-par-la-foret-de/,['TRAIN N'],78 - Yvelines
22642575,"25,50 km",+ 182 m,- 204 m,Difficile,Rambouillet,Le Perray,Non,https://www.visorando.com/randonnee-de-rambouillet-a-saint-leger-en-yvelines/,['TRAIN N'],78 - Yvelines
42395496,"8,02 km",+ 40 m,- 40 m,Facile,Rambouillet,Rambouillet,Oui,https://www.visorando.com/randonnee-le-palais-du-roi-de-rome-a-rambouillet/,['TRAIN N'],78 - Yvelines
7725224,"8,08 km",+ 96 m,- 116 m,Facile,Robinson,Meudon-Val-Fleury,Non,https://www.visorando.com/randonnee-de-robinson-a-meudon-par-la-coulee-verte/,['RER B'],92 - Hauts-de-Seine
428707,"7,23 km",+ 88 m,- 88 m,Facile,Robinson,Robinson,Oui,https://www.visorando.com/randonnee-nouvel-urbanisme-promenade-sur-berges-et/,['RER B'],92 - Hauts-de-Seine
182472,"5,75 km",+ 44 m,- 57 m,Facile,Saint-Cloud,Suresnes-Mont-Valérien,Non,https://www.visorando.com/randonnee-le-val-de-seine-entre-saint-cloud-et-sur/,"['TRAIN U', 'TRAIN L']",92 - Hauts-de-Seine
186747,"10,67 km",+ 66 m,- 69 m,Moyenne,Sainte-Colombe-Septveilles,Sainte-Colombe-Septveilles,Oui,https://www.visorando.com/randonnee-eglises-medievales-de-la-brie-saint-loup/,['TRAIN P'],77 - Seine-et-Marne
1681997,"8,30 km",+ 28 m,- 31 m,Facile,Saint-Maur-Créteil,Créteil Pompadour,Non,https://www.visorando.com/randonnee-de-saint-maur-a-creteil-par-un-bras-de-l/,['RER A'],94 - Val-de-Marne
197840,"13,53 km",+ 22 m,- 8 m,Moyenne,Saint-Maur-Créteil,Joinville-le-Pont,Non,https://www.visorando.com/randonnee-boucle-de-la-marne-de-saint-maur-a-joinv/,['RER A'],94 - Val-de-Marne
7852829,"7,40 km",+ 93 m,- 94 m,Facile,Villiers-Neauphle Pontchartrain,Villiers-Neauphle Pontchartrain,Oui,https://www.visorando.com/randonnee-boucle-champetre-entre-villiers-saint-fr/,['TRAIN N'],78 - Yvelines
3020893,"9,57 km",+ 135 m,- 79 m,Moyenne,Vauboyen,Versailles Château,Non,https://www.visorando.com/randonnee-de-vauboyen-au-chateau-de-versailles/,['TRAIN V'],91 - Essonne
32567138,"20,91 km",+ 177 m,- 256 m,Moyenne,Villaines,Nointel-Mours,Non,https://www.visorando.com/randonnee-de-la-gare-de-villaines-a-la-gare-de-noi/,['TRAIN H'],95 - Val-d'Oise
64777070,"7,03 km",+ 56 m,- 45 m,Facile,Haussmann-Saint-Lazare,Gare de l'Est,Non,https://www.visorando.com/randonnee-le-bestiaire-de-pigalle-et-des-faubourgs/,['RER E'],75 - Paris
204154,"8,23 km",+ 25 m,- 7 m,Facile,Haussmann-Saint-Lazare,Montparnasse,Non,https://www.visorando.com/randonnee-sur-les-pas-de-georges-brassens-gare-sai/,['RER E'],75 - Paris
235918,"3,46 km",+ 4 m,- 14 m,Facile,Haussmann-Saint-Lazare,Auber,Non,https://www.visorando.com/randonnee-parcours-decouverte-du-paris-haussmannie/,['RER E'],75 - Paris
18990777,"13,02 km",+ 12 m,- 62 m,Moyenne,Noisiel,Champigny,Non,https://www.visorando.com/randonnee-de-noisiel-a-saint-maure-par-le-bois-de-/,['RER A'],77 - Seine-et-Marne
119730,"11,38 km",+ 4 m,- 60 m,Moyenne,Noisiel,Neuilly-Plaisance,Non,https://www.visorando.com/randonnee-balade-en-bord-de-marne-de-noisiel-a-neu/,['RER A'],77 - Seine-et-Marne
26404635,"14,40 km",+ 44 m,- 7 m,Moyenne,Musée d'Orsay,Cité Universitaire,Non,https://www.visorando.com/randonnee-cadrans-solaires-et-curiosites-astronomi/,['RER C'],75 - Paris
41655069,"189,92 km",+ 714 m,- 708 m,Facile,Musée d'Orsay,Nation,Non,https://www.visorando.com/randonnee-le-bestiaire-de-paris/,['RER C'],75 - Paris
41888940,"8,13 km",+ 8 m,- 8 m,Facile,Musée d'Orsay,Musée d'Orsay,Non,https://www.visorando.com/randonnee-le-bestiaire-du-louvre-des-tuileries-et-/,['RER C'],75 - Paris
46727953,"8,13 km",+ 7 m,- 16 m,Facile,Gare de l'Est,Paris Austerlitz,Non,https://www.visorando.com/randonnee-le-bestiaire-des-faubourgs-saint-martin-/,['TRAIN P'],75 - Paris
206833,"7,60 km",+ 83 m,- 93 m,Facile,Gare de l'Est,Saint-Lazare,Non,https://www.visorando.com/randonnee-sur-les-pas-de-georges-brassens-gare-de-/,['TRAIN P'],75 - Paris
64798112,"9,08 km",+ 13 m,- 12 m,Facile,Gare de Lyon,Gare de l'Est,Non,https://www.visorando.com/randonnee-le-bestiaire-de-bastille-popincourt-et-r/,"['TRAIN R', 'RER A', 'RER D']",75 - Paris
3089949,"8,39 km",+ 3 m,- 9 m,Facile,Gare de Lyon,Javel,Non,https://www.visorando.com/randonnee-du-pont-d-austerlitz-au-port-de-javel-pa/,"['TRAIN R', 'RER A', 'RER D']",75 - Paris
20528352,"18,26 km",+ 79 m,- 76 m,Moyenne,Gare de Lyon,Pont du Garigliano,Non,https://www.visorando.com/randonnee-de-la-gare-de-lyon-a-la-porte-d-auteuil/,"['TRAIN R', 'RER A', 'RER D']",75 - Paris
14578786,"27,09 km",+ 20 m,- 21 m,Facile,Gare de Lyon,Gare de Lyon,Oui,https://www.visorando.com/randonnee-les-berges-et-les-quais-de-seine-dans-pa-2/,"['TRAIN R', 'RER A', 'RER D']",75 - Paris
883596,"5,52 km",+ 61 m,- 90 m,Facile,La Défense,Courbevoie,Non,https://www.visorando.com/randonnee-deambulations-au-pied-des-tours-de-la-de/,"['TRAIN L', 'RER E', 'TRAIN U', 'RER A']",92 - Hauts-de-Seine
6880854,"6,55 km",+ 11 m,- 15 m,Facile,La Défense,Bécon-les-Bruyères,Non,https://www.visorando.com/randonnee-deambulations-a-travers-courbevoie/,"['TRAIN L', 'RER E', 'TRAIN U', 'RER A']",92 - Hauts-de-Seine
14346988,"20,72 km",+ 319 m,- 313 m,Difficile,Vaux-sur-Seine,Vaux-sur-Seine,Oui,https://www.visorando.com/randonnee-boucle-de-vaux-sur-seine-a-sagy/,['TRAIN J'],78 - Yvelines
16052854,"20,99 km",+ 362 m,- 356 m,Difficile,Vaux-sur-Seine,Vaux-sur-Seine,Oui,https://www.visorando.com/randonnee-boucle-de-vaux-sur-seine-par-triel-sur-s/,['TRAIN J'],78 - Yvelines
1690228,"6,30 km",+ 9 m,- 25 m,Facile,Noisy-le-Grand-Mont d'Est,Villiers-sur-Marne - Le Plessis-Trévise,Non,https://www.visorando.com/randonnee-de-noisy-le-grand-a-villiers-sur-marne-p/,['RER A'],93 - Seine-Saint-Denis
16893280,"18,99 km",+ 103 m,- 138 m,Moyenne,Noisy-le-Grand-Mont d'Est,Le Chénay-Gagny,Non,https://www.visorando.com/randonnee-de-noisy-le-grand-a-gagny-et-le-mont-gui/,['RER A'],93 - Seine-Saint-Denis
25494909,"11,34 km",+ 30 m,- 37 m,Moyenne,Noisy-le-Grand-Mont d'Est,Noisy-le-Grand-Mont d'Est,Oui,https://www.visorando.com/randonnee-a-la-recherche-d-un-peu-de-verdure-a-noi/,['RER A'],93 - Seine-Saint-Denis
7097434,"33,10 km",+ 713 m,- 712 m,Très difficile,Chaville Rive Gauche,Chaville Rive Gauche,Oui,https://www.visorando.com/randonnee-grand-parcours-sportif-dans-les-forets-d/,['TRAIN N'],92 - Hauts-de-Seine
109912,"8,92 km",+ 123 m,- 124 m,Moyenne,Chaville Rive Gauche,Chaville Rive Gauche,Oui,https://www.visorando.com/randonnee-l-etang-du-trou-aux-gants-et-le-chene-de/,['TRAIN N'],92 - Hauts-de-Seine
511278,"19,77 km",+ 238 m,- 217 m,Difficile,Champagne-sur-Seine,Bourron-Marlotte-Grez,Non,https://www.visorando.com/randonnee-de-champagne-sur-seine-a-bourron-marlott/,['TRAIN R'],77 - Seine-et-Marne
519891,"9,83 km",+ 74 m,- 74 m,Moyenne,Champagne-sur-Seine,Champagne-sur-Seine,Oui,https://www.visorando.com/randonnee-en-corniche-et-en-bord-de-seine-au-depar/,['TRAIN R'],77 - Seine-et-Marne
83603,"23,46 km",+ 70 m,- 70 m,Difficile,Gazeran,Gazeran,Oui,https://www.visorando.com/randonnee-entre-la-gueville-et-la-drouette/,['GL'],78 - Yvelines
464421,"9,50 km",+ 45 m,- 51 m,Facile,Massy-Palaiseau,Massy-Palaiseau,Oui,https://www.visorando.com/randonnee-tours-et-detours-dans-massy/,"['TRAIN V', 'RER B', 'RER C']",91 - Essonne
34141415,"15,74 km",+ 41 m,- 22 m,Moyenne,Achères-Ville,Achères-Grand-Cormier,Non,https://www.visorando.com/randonnee-d-un-acheres-a-l-autre-par-la-foret-de-s/,"['RER A', 'TRAIN L']",78 - Yvelines
45995854,"11,21 km",+ 178 m,- 179 m,Moyenne,Écouen-Ézanville,Écouen-Ézanville,Oui,https://www.visorando.com/randonnee-la-foret-de-montmorency-a-ecouen-ezanvil/,['TRAIN H'],95 - Val-d'Oise
4214603,"3,17 km",+ 75 m,- 1 m,Facile,Enghien-Les-Bains,Deuil-Montmagny,Non,https://www.visorando.com/randonnee-sur-les-traces-du-refoulons/,['TRAIN H'],95 - Val-d'Oise
2730403,"12,30 km",+ 104 m,- 110 m,Moyenne,Chars,Chars,Oui,https://www.visorando.com/randonnee-la-vallee-de-la-viosne-autour-de-chars/,['TRAIN J'],95 - Val-d'Oise
20361057,"23,49 km",+ 244 m,- 253 m,Moyenne,Chars,Santeuil-le-Perchay,Non,https://www.visorando.com/randonnee-de-chars-a-santeuil-par-les-buttes-de-ro/,['TRAIN J'],95 - Val-d'Oise
204961,"10,15 km",+ 104 m,- 103 m,Facile,Chars,Chars,Oui,https://www.visorando.com/randonnee-boucle-au-depart-de-chars/,['TRAIN J'],95 - Val-d'Oise
44139957,"5,89 km",+ 33 m,- 10 m,Facile,Châtelet-Les Halles,Saint-Lazare,Non,https://www.visorando.com/randonnee-le-bestiaire-des-quartiers-de-l-opera-et/,"['RER D', 'RER B', 'RER A']",75 - Paris
870561,"6,46 km",+ 3 m,- 1 m,Facile,Châtelet-Les Halles,Gare de Lyon,Non,https://www.visorando.com/randonnee-du-louvre-a-la-bastille-par-la-tour-sain/,"['RER D', 'RER B', 'RER A']",75 - Paris
26404635,"14,40 km",+ 44 m,- 7 m,Moyenne,Châtelet-Les Halles,Cité Universitaire,Non,https://www.visorando.com/randonnee-cadrans-solaires-et-curiosites-astronomi/,"['RER D', 'RER B', 'RER A']",75 - Paris
41655069,"189,92 km",+ 714 m,- 708 m,Facile,Châtelet-Les Halles,Nation,Non,https://www.visorando.com/randonnee-le-bestiaire-de-paris/,"['RER D', 'RER B', 'RER A']",75 - Paris
41888940,"8,13 km",+ 8 m,- 8 m,Facile,Châtelet-Les Halles,Musée d'Orsay,Non,https://www.visorando.com/randonnee-le-bestiaire-du-louvre-des-tuileries-et-/,"['RER D', 'RER B', 'RER A']",75 - Paris
41854068,"7,44 km",+ 4 m,- 4 m,Facile,Châtelet-Les Halles,Châtelet-Les Halles,Oui,https://www.visorando.com/randonnee-le-bestiaire-des-halles-et-du-marais/,"['RER D', 'RER B', 'RER A']",75 - Paris
4129961,"13,62 km",+ 4 m,- 7 m,Moyenne,Corbeil-Essonnes,Juvisy,Non,https://www.visorando.com/randonnee-le-long-de-la-seine-de-corbeil-a-juvisy/,['RER D'],91 - Essonne
2206626,"20,06 km",+ 108 m,- 92 m,Difficile,Corbeil-Essonnes,Ballancourt,Non,https://www.visorando.com/randonnee-de-corbeil-a-ballancourt-par-le-parc-de-/,['RER D'],91 - Essonne
2208446,"80,77 km",+ 612 m,- 538 m,Moyenne,Corbeil-Essonnes,Malesherbes,Non,https://www.visorando.com/randonnee-en-remontant-l-essonne/,['RER D'],91 - Essonne
61697654,"7,03 km",+ 3 m,- 3 m,Facile,Corbeil-Essonnes,Corbeil-Essonnes,Oui,https://www.visorando.com/randonnee-en-suivant-les-meandres-de-l-essonne-dan/,['RER D'],91 - Essonne
61245062,"14,76 km",+ 14 m,- 14 m,Facile,Gennevilliers,Gennevilliers,Oui,https://www.visorando.com/randonnee-entre-seine-et-parc-departemental-des-ch/,['RER C'],92 - Hauts-de-Seine
462002,"6,07 km",+ 24 m,- 11 m,Facile,Gennevilliers,Épinay-sur-Seine,Non,https://www.visorando.com/randonnee-un-tour-au-parc-des-chanteraines/,['RER C'],92 - Hauts-de-Seine
30571752,"7,70 km",+ 8 m,- 8 m,Facile,Franconville-Le Plessis-Bouchard,Franconville-Le Plessis-Bouchard,Oui,https://www.visorando.com/randonnee-le-bois-de-boissy-au-depart-de-franconvi/,"['TRAIN H', 'RER C']",95 - Val-d'Oise
582183,"19,91 km",+ 48 m,- 48 m,Moyenne,Évry,Évry,Oui,https://www.visorando.com/randonnee-arbres-remarquables-des-chasses-royales-/,['RER D'],91 - Essonne
260731,"20,53 km",+ 54 m,- 50 m,Moyenne,Évry,Évry,Oui,https://www.visorando.com/randonnee-d-etiolles-au-port-aux-cerises-par-les-b/,['RER D'],91 - Essonne
459418,"16,08 km",+ 234 m,- 219 m,Moyenne,Faremoutiers-Pommeuse,Mortcerf,Non,https://www.visorando.com/randonnee-de-faremoutiers-a-mortcerf-par-les-mouli/,['TRAIN P'],77 - Seine-et-Marne
480861,"11,71 km",+ 110 m,- 110 m,Moyenne,Faremoutiers-Pommeuse,Faremoutiers-Pommeuse,Oui,https://www.visorando.com/randonnee-la-promenade-du-grand-morin-et-la-cascad/,['TRAIN P'],77 - Seine-et-Marne
3225734,"30,22 km",+ 199 m,- 233 m,Très difficile,Faremoutiers-Pommeuse,La Ferté-sous-Jouarre,Non,https://www.visorando.com/randonnee-de-faremoutiers-a-jouarre-par-la-ferme-d/,['TRAIN P'],77 - Seine-et-Marne
459082,"18,90 km",+ 108 m,- 99 m,Moyenne,Faremoutiers-Pommeuse,Mortcerf,Non,https://www.visorando.com/randonnee-de-faremoutiers-a-mortcerf-par-la-foret-/,['TRAIN P'],77 - Seine-et-Marne
30343592,"11,57 km",+ 153 m,- 133 m,Moyenne,Faremoutiers-Pommeuse,Guérard-la-Celle-sur-Morin,Non,https://www.visorando.com/randonnee-de-faremoutiers-a-guerard-par-les-coteau/,['TRAIN P'],77 - Seine-et-Marne
4126321,"26,60 km",+ 120 m,- 133 m,Difficile,Mantes-la-Jolie,Bonnières,Non,https://www.visorando.com/randonnee-de-mantes-la-jolie-a-bonnieres-par-la-bo/,"['TRAIN N', 'TRAIN J']",78 - Yvelines
34968744,"12,90 km",+ 154 m,- 171 m,Moyenne,Mareil-sur-Mauldre,Épône-Mézières,Non,https://www.visorando.com/randonnee-de-mareil-sur-mauldre-a-epone-au-fil-de-/,['TRAIN N'],78 - Yvelines
62211335,"14,04 km",+ 217 m,- 215 m,Moyenne,Mareil-sur-Mauldre,Mareil-sur-Mauldre,Oui,https://www.visorando.com/randonnee-par-monts-et-par-vaux-de-mareil-sur-maul/,['TRAIN N'],78 - Yvelines
18776515,"9,57 km",+ 139 m,- 139 m,Facile,Maule,Maule,Oui,https://www.visorando.com/randonnee-le-plateau-d-herville-et-sa-foret-par-de/,['TRAIN N'],78 - Yvelines
20608059,"10,64 km",+ 164 m,- 164 m,Moyenne,Maule,Maule,Oui,https://www.visorando.com/randonnee-patrimoine-de-maule-et-promenade-au-fil-/,['TRAIN N'],78 - Yvelines
4158002,"13,02 km",+ 21 m,- 36 m,Moyenne,Melun,Ponthierry-Pringy,Non,https://www.visorando.com/randonnee-de-melun-a-ponthierry-par-le-barrage-des/,"['TRAIN R', 'RER D']",77 - Seine-et-Marne
28344315,"15,68 km",+ 117 m,- 100 m,Moyenne,Melun,Bois-le-Roi,Non,https://www.visorando.com/randonnee-de-melun-a-bois-le-roi-par-le-gr-r-1/,"['TRAIN R', 'RER D']",77 - Seine-et-Marne
66044693,"14,14 km",+ 142 m,- 185 m,Moyenne,Méry-sur-Oise,Pontoise,Non,https://www.visorando.com/randonnee-sur-les-pas-de-van-gogh-a-auvers-sur-ois/,['TRAIN H'],95 - Val-d'Oise
1052157,"22,38 km",+ 147 m,- 140 m,Difficile,Montereau,Champigny-sur-Yonne,Non,https://www.visorando.com/randonnee-de-montereau-a-champigny-sur-yonne/,['TRAIN R'],77 - Seine-et-Marne
3559016,"301,19 km",+ 1 213 m,- 1 244 m,Moyenne,Montereau,Vernon,Non,https://www.visorando.com/randonnee-en-suivant-la-seine-a-travers-l-ile-de-f/,['TRAIN R'],77 - Seine-et-Marne
4189145,"13,71 km",+ 76 m,- 63 m,Moyenne,Montereau,Vernou-sur-Seine,Non,https://www.visorando.com/randonnee-de-montereau-a-vernou-sur-seine-par-le-c/,['TRAIN R'],77 - Seine-et-Marne
23358306,"29,35 km",+ 19 m,- 5 m,Très difficile,Montereau,Pont-sur-Yonne,Non,https://www.visorando.com/randonnee-de-montereau-fault-yonne-a-pont-sur-yonn/,['TRAIN R'],77 - Seine-et-Marne
1671901,"7,70 km",+ 8 m,- 4 m,Facile,Le Bourget,Noisy-le-Sec,Non,https://www.visorando.com/randonnee-urbanisme-et-parcours-de-memoire-a-dranc/,['RER B'],93 - Seine-Saint-Denis
1678303,"6,50 km",+ 59 m,- 77 m,Facile,Le Raincy-Villemomble-Montfermeil,Neuilly-Plaisance,Non,https://www.visorando.com/randonnee-le-parc-des-coteaux-d-avron-et-la-voie-l/,['RER E'],93 - Seine-Saint-Denis
461758,"6,52 km",+ 79 m,- 82 m,Facile,Le Raincy-Villemomble-Montfermeil,Le Raincy-Villemomble-Montfermeil,Oui,https://www.visorando.com/randonnee-promenade-patrimoniale-au-raincy/,['RER E'],93 - Seine-Saint-Denis
327,"7,89 km",+ 21 m,- 21 m,Facile,Livry-sur-Seine,Livry-sur-Seine,Oui,https://www.visorando.com/randonnee-pr-de-livry/,['TRAIN R'],77 - Seine-et-Marne
1398063,"24,73 km",+ 337 m,- 331 m,Difficile,Lizy-sur-Ourcq,Crouy-sur-Ourcq,Non,https://www.visorando.com/randonnee-de-lizy-sur-ourcq-a-crouy-sur-ourcq-par-/,['TRAIN P'],77 - Seine-et-Marne
72359,"15,37 km",+ 118 m,- 115 m,Moyenne,Lizy-sur-Ourcq,Crouy-sur-Ourcq,Non,https://www.visorando.com/randonnee-vendrest-et-le-canal-de-l-ourcq/,['TRAIN P'],77 - Seine-et-Marne
749913,"20,19 km",+ 48 m,- 43 m,Moyenne,Lizy-sur-Ourcq,Trilport,Non,https://www.visorando.com/randonnee-de-lizy-sur-ourcq-a-trilport/,['TRAIN P'],77 - Seine-et-Marne
435498,"16,83 km",+ 190 m,- 184 m,Moyenne,Lizy-sur-Ourcq,La Ferté-sous-Jouarre,Non,https://www.visorando.com/randonnee-de-lizy-sur-ourcq-a-la-ferte-sous-jouarr/,['TRAIN P'],77 - Seine-et-Marne
17739019,"11,96 km",+ 15 m,- 14 m,Moyenne,Lizy-sur-Ourcq,Lizy-sur-Ourcq,Oui,https://www.visorando.com/randonnee-mary-par-le-canal/,['TRAIN P'],77 - Seine-et-Marne
